Order_ID,Order_Date,Customer_ID,Customer_Name,Product_ID,Product_Name,Category,Region,Quantity,Unit_Price,Discount,Sales,Cost,Shipping_Cost,Profit,Profit_Margin,Year,Month,Month_Name
ORD0001,2025-04-14,C029,Customer 26,P05,Printer,Office,East,2,11042,0.15,18771.4,15017.12,261,3493.28,18.609586924789838,2025,4,Apr
ORD0002,2025-06-17,C007,Customer 05,P08,Notebook,Office,North,1,4741,0.1,4266.9,3223.88,268,775.02,18.16353793151937,2025,6,Jun
ORD0003,2025-09-08,C007,Customer 20,P08,Notebook,Office,North,5,7980,0.15,33915.0,27132.0,361,6422.0,18.935574229691877,2025,9,Sep
ORD0004,2025-09-09,C030,Customer 01,P13,USB Drive,Technology,East,1,1476,0.3,1033.2,1003.68,162,-132.48,-12.822299651567942,2025,9,Sep
ORD0005,2025-12-10,C004,Customer 04,P09,Pen Set,Office,North,2,5882,0.2,9411.2,7999.52,187,1224.68,13.01300578034682,2025,12,Dec
ORD0006,2025-12-16,C013,Customer 29,P04,Mouse,Technology,North,1,557,0.0,557.0,378.76,450,-271.76,-48.78994614003591,2025,12,Dec
ORD0007,2025-11-14,C008,Customer 24,P08,Notebook,Office,North,3,11285,0.15,28776.75,23021.4,498,5257.35,18.269436263650345,2025,11,Nov
ORD0008,2025-03-09,C028,Customer 28,P08,Notebook,Office,South,1,10177,0.2,8141.6,6920.36,469,752.24,9.239461530903016,2025,3,Mar
ORD0009,2025-05-04,C026,Customer 06,P04,Mouse,Technology,South,4,7984,0.15,27145.6,21716.48,83,5346.12,19.69424142402452,2025,5,May
ORD0010,2025-01-22,C024,Customer 04,P14,Router,Technology,West,2,14507,0.1,26112.6,19729.52,133,6250.08,23.935111785115232,2025,1,Jan
ORD0011,2025-08-22,C010,Customer 13,P11,Tablet,Technology,West,1,6968,0.3,4877.6,4738.24,157,-17.64,-0.36165327210103326,2025,8,Aug
ORD0012,2025-11-12,C004,Customer 17,P15,Office Lamp,Furniture,North,5,4672,0.3,16352.0,20556.8,449,-4653.8,-28.46012720156556,2025,11,Nov
